ECMKey,Site_Name,Desc_English,Desc_Spanish,LocAddress,LocCity,LocState,LocZip,Phone_Number,URL,Ages_Served,Ages_Zero_Three_Y_N,Ages_Three_Five_Y_N,Part_Day_Y_N,Full_Day_Y_N,Full_Year_Y_N,School_Year_Y_N,Operating_Hours,School_Based_Y_N,Community_Based_Y_N,Head_Start_Y_N,Accepts_CCAP_Y_N,Home_Visiting_Y_N,Languages_other_than_English,Lang2,Lang3,Other_Features,Accreditation,Location,Agency_Associated_With,Modified_on,Quality_Rating,Availability_Level
324,Wholly Innocence Daycare Center,,,34 N Sangamon St,Chicago,IL,60607,312-226-7984,http://www.hcenter.org,6 weeks to 5 years,True,True,True,True,True,False,8:00am-5:30pm,False,True,False,True,False,,,,,DCFS Licensed,,Haymarket Center,9/19/2016 6:45:14 AM,Licensed,Medium
338,North Kenwood Day Care Center,,,"516 E 43rd St, #518",Chicago,IL,60653,773-268-2223,www.henryboothhouse.org,6 weeks to 6 years,True,True,True,True,True,True,7:00am-6:00pm,False,True,False,True,False,,,,,,,Henry Booth House,9/21/2016 6:49:26 AM,Silver,High
356,A N Pritzker School,,,2009 W Schiller St,Chicago,IL,60622,773-534-4415,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610229,3 years to 5 years,False,True,True,False,False,True,,True,False,False,False,False,,,,,,,Chicago Public Schools,9/19/2016 6:59:52 AM,Gold,Low
357,Adlai E Stevenson Elementary School,,,8010 S Kostner Ave,Chicago,IL,60652,773-535-2280,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610185 ,3 years to 5 years,False,True,True,False,False,True,,True,False,False,False,False,,,,,,,Chicago Public Schools,9/19/2016 7:00:17 AM,Gold,Low
363,Alice L Barnard Computer Math & Science Center Elementary School,,,10354 S Charles St,Chicago,IL,60643,773-535-2625,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=609788,3 years to 5 years,False,True,True,False,False,True,,True,False,False,False,False,,,,,,,Chicago Public Schools,9/19/2016 8:36:12 AM,Gold,Low
366,Anna R Langford Community Academy,,,6010 S Throop St,Chicago,IL,60636,773-535-9180,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=609869,3 years to 5 years,False,True,False,True,False,True,,True,False,False,False,False,,,,,,,Chicago Public Schools,9/19/2016 8:37:01 AM,Gold,Low
403,Charles Sumner Math & Science Community Academy Elementary School,,,4320 W 5th Ave,Chicago,IL,60624,773-534-6730,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610194 ,3 years to 5 years,False,True,False,True,False,True,,True,False,False,False,False,,,,,,,Chicago Public Schools,9/19/2016 8:37:49 AM,Gold,Low
423,Dr Jorge Prieto Math and Science Academy Elementary School,,,2231 N Central Ave,Chicago,IL,60639,773-534-0210,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610533,3 years to 5 years,False,True,True,False,False,True,,True,False,False,False,False,,,,,,,Chicago Public Schools,9/19/2016 8:38:45 AM,Silver,Low
424,Dr Martin L King Jr Academy of Social Justice,,,644 W 71st St,Chicago,IL,60621,773-535-3875,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610299,3 years to 5 years,False,True,False,True,False,True,,True,False,False,False,False,,,,,,,Chicago Public Schools,9/19/2016 8:39:39 AM,Gold,Low
515,James Weldon Johnson Elementary School of Excellence,,,1420 S Albany Ave,Chicago,IL,60623,773-534-1829,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610274,3 years to 5 years,False,True,False,True,False,True,,True,False,False,False,False,,,,,,,Chicago Public Schools,9/19/2016 8:41:14 AM,Gold,Low
532,John Foster Dulles Elementary School of Excellence,,,6311 S Calumet Ave,Chicago,IL,60637,773-535-0690,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610263,3 years to 5 years,False,True,True,False,False,True,,True,False,False,False,False,,,,,,,Chicago Public Schools,9/19/2016 8:56:05 AM,Licensed,Low
602,Michael Faraday Elementary School,,,3250 W Monroe St,Chicago,IL,60624,(773)-534-6670,http://www.cps.edu/Schools/Pages/school.aspx?Schoo,3 years to 5 years,False,True,True,True,False,True,7:00 AM - 6:00 PM,True,False,False,False,False,Spanish,,,,COA,,Chicago Public Schools,9/21/2016 8:50:18 AM,Licensed,Low
606,Morton School of Excellence,,,431 N Troy St,Chicago,IL,60612,773-534-6791,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610257,3 years to 5 years,False,True,True,False,False,True,,True,False,False,False,False,,,,,,,Chicago Public Schools,9/19/2016 8:57:30 AM,Silver,Medium
611,Nathanael Greene Elementary School,,,3525 S Honore St,Chicago,IL,60609,773-535-4560,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=609952,3 years to 5 years,False,True,True,False,False,True,,True,False,False,False,False,,,,,,,Chicago Public Schools,9/20/2016 12:42:55 PM,Gold,Low
652,Rodolfo Lozano Bilingual & International Center Elementary School,,,1501 N Greenview Ave,Chicago,IL,60642,773-534-4750,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610029,3 years to 5 years,False,True,True,False,False,True,,True,False,False,False,False,,,,,,,Chicago Public Schools,9/19/2016 9:02:28 AM,Gold,Low
676,Walt Disney II Magnet School,,,3815 N Kedvale Ave,Chicago,IL,60641,773-534-3750,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610515,3 years to 5 years,False,True,True,True,False,True,,True,False,False,False,False,,,,,,,Chicago Public Schools,9/19/2016 9:03:11 AM,Gold,Low
681,Wendell E Green Elementary School,,,1150 W 96th St,Chicago,IL,60643,773-535-2575,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610032,3 years to 5 years,False,True,True,False,False,True,,True,False,False,False,False,,,,,,,Chicago Public Schools,9/19/2016 9:03:51 AM,Silver,Low
715,Carole Robertson Center for Learning - Roosevelt,,,2020 W Roosevelt Rd,Chicago,IL,60608,312-243-7300,http://www.crcl.net,0 years to 5 years,True,True,True,True,True,True,6:00 AM - 6:00 PM,False,True,False,True,True,Spanish,,,,NAEYC,,Carole Robertson Center for Learning,9/19/2016 6:46:12 AM,Licensed,Medium
733,Little Folks Daycare,,,5926 W Madison Ave,Chicago,IL,60644,773-379-4419,,6 weeks to 5 years,True,True,False,False,False,False,6:00am-6:00pm,False,True,False,False,False,,,,,,,Little Folks Cottage,9/19/2016 6:46:41 AM,Licensed,Medium
737,Chicago Commons Association - Learn Together Grow Together Child Development C.,,,1126 W 99th St,Chicago,IL,60643,773-568-4769,www.chicagocommons.org,6 weeks to 12 years,True,True,False,False,False,False,6:00am-6:00pm,False,True,False,False,False,Spanish,,,,,,Chicago Commons Association,9/19/2016 6:47:50 AM,Licensed,Medium
738,First Steps Learning Daycare,,,6401 S Ashland Ave,Chicago,IL,60636,,www.chicagoyouthcenters.org,6 weeks to 6 years,True,True,False,False,False,False,6:00am-6:00pm,False,True,False,False,False,,,,,,,Chicago Youth Centers,9/19/2016 6:48:22 AM,Licensed,Medium
746,Austin Town Hall Children's Center,,,5610 W Lake St,Chicago,IL,60644,773-379-0901,,3 years to 5 years,False,True,False,False,False,False,7:30am-5:30pm,False,True,False,False,False,Spanish,,,,NAEYC,,Lutheran Social Services,9/19/2016 6:49:15 AM,Licensed,Medium
748,Easter Seals Society of Metropolitan Chicago - Gilchrist Marchman,,,1312 S Racine Ave,Chicago,IL,60608,312-492-7402,www.eastersealschicago.org,6 weeks to 5 years,True,True,False,True,True,True,7:00am-6:00pm,False,True,False,True,False,Chinese (Traditional),Spanish,French,,NAEYC,,Easter Seals Metropolitan Chicago,9/19/2016 6:50:02 AM,Gold,High
