ECMKey|Site_Name|Desc_English|Desc_Spanish|LocAddress|LocCity|LocState|LocZip|Phone_Number|URL|Ages_Served|Ages_Zero_Three_Y_N|Ages_Three_Five_Y_N|Part_Day_Y_N|Full_Day_Y_N|Full_Year_Y_N|School_Year_Y_N|Operating_Hours|School_Based_Y_N|Community_Based_Y_N|Head_Start_Y_N|Accepts_CCAP_Y_N|Home_Visiting_Y_N|Languages_other_than_English|Other_Features|Accreditation|Latitude|Longitude|Location|Agency_Associated_With|Neighborhood|Modified_on|Quality_Rating|Availability_Level
132|Archdiocese of Chicago - St. Sabina|Our mission scripture is:" Train up a child in the way that he should go and when he is old  he will not depart from it." PROVERBS 22:6\nWe believe that each child was created for a special purpose and we strive to offer a full academic curriculum as well as a variety of extra-curricular programs to |''|7801 S Throop Ave|Chicago|IL|60620|(773) 483-5000|http://stsabinaacademy.org|''|True|True|''|''|''|''|6:30am-6:00pm|''|''|''|''|''|English|''|0|''|''|''|''|''|Jun 27 2016  9:37PM|0|Medium
133|Archdiocese of Chicago - St. Sylvester|St. Sylvester is a dynamic school located in the Logan Square/Humboldt Park neighborhood.  Children in our early childhood department develop holistically in a loving environment. They build greater letter recognition and early reading skills  higher number awareness and competency  improved social |''|3027 W Palmer Sq|Chicago|IL|60647|(773) 772-5222|http://www.stsylvester.org|''|True|True|''|''|''|''|6:30am-6:00pm|''|''|''|''|''|English, French, Philipino (Tagalog), Spanish|''|AdvancED|''|''|''|''|''|Jun 27 2016  9:37PM|0|Medium
134|Asian Human Services - LEAF program|The LEAF Program at Asian Human Services offers a full-day  center-based program for children 2-5  and a home visiting program for families with children 0-3.  We have very qualified teachers providing care in a lovely center in Chicago's West Ridge neighborhood.  Our early childhood program serves |''|2838 W Peterson Ave|Chicago|IL|60659|(773) 564-4944|http://www.ahschicago.org|''|False|True|''|''|''|''|7:30am-5:30pm|''|''|''|''|''|English, Bosnian, Spanish|''| |''|''|''|''|''|Jun 27 2016  9:37PM|0|High
135|Building Blocks Learning Academy|At Building Blocks Learning Academy  it is our privilege to accompany children as they embark on a path of growth and exploration.  Through play and language  a loving staff  and friendships  children who come to Building Blocks  build a strong foundation for a lifetime of learning.  \nOur mission is|''|1120 W 69th St|Chicago|IL|60621|(773) 551-5153|http://www:buildingblocksla.com|''|False|True|''|''|''|''|6:30am-6:00pm|''|''|''|''|''|English|''|0|''|''|''|''|''|Jun 27 2016  9:37PM|0|High
136|Carole Robertson Center for Learning - Ogden|In 2001  the Carole Robertson Center opened its North Lawndale site. This new facility expanded the capacity of the North Lawndale community to provide quality center-based child development programming and community development activities. Programs offered at this location include: Infant Toddler D|''|3701 W Ogden Ave|Chicago|IL|60623|(773) 522-8400|http://www.crcl.net|''|False|True|''|''|''|''|6:00am-6:00pm|''|''|''|''|''|English, Spanish|''|Awards of Excellence, NAEYC|''|''|''|''|''|Jun 27 2016  9:37PM|0|Medium
137|Carole Robertson Center for Learning -19th Street|Programs offered at this location include: Infant Toddler Development Program  ages 0-3 Early Childhood Education Program  ages 3-5 School Age Program  ages 6-12 Youth Alternatives Program  ages 12-18 Family Home Child Care Network Adult Learning Institute Community Partners|''|2929 W 19th St|Chicago|IL|60623|(773) 521-1600|http://www.crcl.net|''|False|True|''|''|''|''|6:00am-6:00pm|''|''|''|''|''|English, Spanish|''|NAEYC|''|''|''|''|''|Jun 27 2016  9:37PM|0|High
138|Casa Central - Early Learning Academy|Casa Central's full day center-based Head Start and Adolescent Parent programs foster early learning in a setting that is both culturally and linguistically sensitive  allowing children to develop their language skills  and providing parents the opportunity to be active participants in their child's|''|1343 N California Ave|Chicago|IL|60622|(773) 645-2300|http://www.casacentral.org|''|False|True|''|''|''|''|7:00am-6:00pm|''|''|''|''|''|English, Spanish|''|Awards of Excellence, COA|''|''|''|''|''|Jun 27 2016  9:37PM|0|High
139|Catholic Charities - Chicago Lawn Child Development Center|Chicago Lawn provides support for low income families by providing high quality early childhood education.  We provide services to children ages 3-5 years old  including 1/2 day Head Start  full day Head Start Collaboration for working parents  and Pre-K for those who qualify.  Our center is open ye|''|3001 W 59th St|Chicago|IL|60629|(773) 925-1085|http://www.catholiccharities.net/services/childhood_development|''|True|True|''|''|''|''|7:00am-6:00pm|''|''|''|''|''|English, Spanish|''|NAEYC|''|''|''|''|''|Jun 27 2016  9:37PM|0|High
140|Catholic Charities - Cordi Marian Child Development Center|Cordi Marian provides support for working families through state subsidized and private pay early childhood education.  We provide services to children ages 2-12 years old  including Pre-K for those who qualify.  Our center is open year-round  including school holidays and throughout the summer.  We|''|1100 S May St|Chicago|IL|60607|(312) 666-3787|http://www.catholiccharities.net/services/childhood_development|''|False|True|''|''|''|''|7:00am-6:00pm|''|''|''|''|''|English, Spanish|''|NAEYC|''|''|''|''|''|Jun 27 2016  9:37PM|0|High
141|Catholic Charities - Our Lady of Lourdes Child Development Center|Our Lady of Lourdes provides support for low income families by providing high quality early childhood education.  We provide services to children ages 6 weeks to 5 years old  including Infant Toddler care  Head Start Collaboration for working parents  and Pre-K for those who qualify.  Our center is|''|1449 S Keeler Ave|Chicago|IL|60623|773.521.3126|http://www.catholiccharities.net/services/childhood_development|''|False|True|''|''|''|''|7:00am-6:00pm|''|''|''|''|''|English, Spanish|''|0|''|''|''|''|''|Jun 27 2016  9:37PM|0|Medium
142|Catholic Charities - Our Lady of Tepeyac Child Development Center|Our Lady of Tepeyac provides support for low income families by offering high quality early childhood education and School Age child care.  We deliver services to children ages 3-5 years old  including 1/2 day Head Start  full day Head Start Collaboration for working parents  and Pre-K for those who|''|2414 S Albany Ave|Chicago|IL|60623|(773) 277-5888|http://www.catholiccharities.net/services/childhood_development|''|False|True|''|''|''|''|7:00am-6:00pm|''|''|''|''|''|English, Spanish|''|NAEYC, COA|''|''|''|''|''|Jun 27 2016  9:37PM|0|High
143|Catholic Charities - St. Joseph Child Development Center|St. Joseph provides support for low income families by delivering high quality early childhood education and School Age child care.  We offer services to children ages 3-5 years old  including 1/2 day Head Start  full day Head Start Collaboration for working parents  and Pre-K for those who qualify.|''|4800 S Paulina Ave|Chicago|IL|60609|(773) 927-2524|http://www.catholiccharities.net/services/childhood_development|''|False|True|''|''|''|''|7:00am-6:00pm|''|''|''|''|''|English, Spanish|''|Awards of Excellence, COA, NAEYC|''|''|''|''|''|Jun 27 2016  9:37PM|0|High
144|Centers for New Horizons - Altgeld Gardens Early Learning Center|Early Care & Education is the foundational program of Centers for New Horizons  supporting working parents and enabling young children to get off to a great start in school and in life. Centers offers high quality center-based early childhood care and education.|''|941 E 132nd St|Chicago|IL|60827|(773) 468-3055|http://www.cnh.org|''|False|True|''|''|''|''|7:00am-6:00pm|''|''|''|''|''|English|''|COA|''|''|''|''|''|Jun 27 2016  9:37PM|0|Medium
145|Centers for New Horizons - Effie O. Ellis Early Learning Center|Early Care & Education is the foundational program of Centers for New Horizons  supporting working parents and enabling young children to get off to a great start in school and in life. Centers offers high quality center-based early childhood care and education.|''|4301 S Cottage Grove Ave|Chicago|IL|60653|(773) 548-9839|http://www.cnh.org|''|False|True|''|''|''|''|7:00am-6:00pm|''|''|''|''|''|English|''|COA|''|''|''|''|''|Jun 27 2016  9:37PM|0|Medium
146|Chance after Chance|Chance after Chance is an extensive preschool program that focuses on preparing children to succeed academically  socially and emotionally in school. Utilizing an approved research based curriculum  teaching strategy goals  children will exceed in their school readiness goal.  Through intentional in|''|305-309 N Cicero Ave|Chicago|IL|60644|(773) 386-7778|http://chanceministries.org|''|True|True|''|''|''|''|7:30am-6:00pm|''|''|''|''|''|English, Spanish|''|0|''|''|''|''|''|Jun 27 2016  9:37PM|0|Medium
147|Chicago Child Care Society - Hyde Park|0|''|5467 S University Ave|Chicago|IL|60615|(773) 643-0452|0|''|False|True|''|''|''|''|7:00am-6:00pm|''|''|''|''|''|English, Spanish|''|NAEYC|''|''|''|''|''|Jun 27 2016  9:37PM|0|High
148|Chicago Commons Association - Guadalupano Family Center|Guadalupano Family Center is located in Pilsen and is part of the Chicago Commons (Commons) program. Commons offers a rich educational approach to families and communities with limited resources  and adapts services to the needs of the people and communities it serves. All Commons classrooms have bo|''|1814 S Paulina St|Chicago|IL|60608|(312) 666-3883|http://www.chicagocommons.org|''|False|True|''|''|''|''|7:00am-6:00pm|''|''|''|''|''|English, Spanish|''|NAEYC|''|''|''|''|''|Jun 27 2016  9:37PM|0|Medium
149|Chicago Commons Association - NIA Family Center|Nia Family Center is located in West Humboldt Park and is part of the Chicago Commons (Commons) program. Commons offers a rich educational approach to families and communities with limited resources  and adapts services to the needs of the people and communities it serves. All Commons classrooms hav|''|744 N Monticello Ave|Chicago|IL|60624|(773) 722-0115|http://www.chicagocommons.org|''|False|True|''|''|''|''|7:00am-6:00pm|''|''|''|''|''|English, Spanish|''|NAEYC|''|''|''|''|''|Jun 27 2016  9:37PM|0|High
150|Chicago Commons Association - Paulo Freire Family Center|Paulo Freire Family Center is located in Back of the Yards and is part of the Chicago Commons (Commons) program. Commons offers a rich educational approach to families and communities with limited resources  and adapts services to the needs of the people and communities it serves. All Commons classr|''|1653 W 43rd St|Chicago|IL|60609|(773) 826-6260|http://www.chicagocommons.org|''|False|True|''|''|''|''|7:00am-6:00 pm|''|''|''|''|''|English, Spanish|''|NAEYC|''|''|''|''|''|Jun 27 2016  9:37PM|0|High
151|Chicago Commons Association - Taylor Center for New Experiences|Taylor Center for New Experiences is located in West Humboldt Park and is part of the Chicago Commons (Commons) program. Commons offers a rich educational approach to families and communities with limited resources  and adapts services to the needs of the people and communities it serves. All Common|''|1633 N Hamlin Ave|Chicago|IL|60647|(773) 227-8551|http://www.chicagocommons.org|''|False|True|''|''|''|''|7:00am-6:00pm|''|''|''|''|''|English, Spanish|''|NAEYC|''|''|''|''|''|Jun 27 2016  9:37PM|0|Medium
152|Chicago Youth Centers - ABC Polk Brothers Early Childhood Program|CYC ABC Early Childhood  mission is to invest in youth in underserved communities in Chicago to help them discover and realize their full potential. \nOur program specialty is in the area of science.\nChildren enrolled in our program will participate in a Green Living Recycling Project to protect the |''|3415 W 13th Pl|Chicago|IL|60623|(773) 762-5655|http://chicagoyouthcenters.org|''|True|True|''|''|''|''|7:00am-6:00pm|''|''|''|''|''|English|''|0|''|''|''|''|''|Jun 27 2016  9:37PM|0|High
153|Chicago Youth Centers - Centro Nuestro|Chicago Youth Centers invests in youth in underserved communities in Chicago to help them discover and realize their full potential. \nAt the Centro Nuestro  we pride ourselves in our positive  caring  and supportive environment. We support the needs of our children and their families. We instill a d|''|3222 W Division St|Chicago|IL|60651|(773) 489-3157|http://chicagoyouthcenters.org|''|True|True|''|''|''|''|0|''|''|''|''|''|0|''|0|''|''|''|''|''|Jun 27 2016  9:37PM|0|Medium
154|Chicago Youth Centers - Dorothy Gautreaux|CYC/Dorothy Gautreaux provides a full day collaboration program which includes Pre-School for All  Head Start and Child Care Assistance to childrenages 3-5 identified as at risk.  Our program specialty is in the area of science.Children enrolled in our program will participate in a Green Living Recy|''|975 E 132nd  St|Chicago|IL|60827|(773) 291-1000|http://chicagoyouthcenters.org|''|True|True|''|''|''|''|7:00am-6:00pm|''|''|''|''|''|English|''|0|''|''|''|''|''|Jun 27 2016  9:37PM|0|Medium
155|Chicago Youth Centers - Fellowship House|Fellowship House Head Start mission is to help every child discover and realized their full potential. Our Head Start program is child center and our curriculum encourages school readiness and family engagement through all developmental learning areas.  \nFellowship House Head Start program specialty|''|844 W 32nd St|Chicago|IL|60608|(312) 326-2282|http://chicagoyouthcenters.org|''|True|True|''|''|''|''|7:00am-6:00pm|''|''|''|''|''|English, Spanish|''|0|''|''|''|''|''|Jun 27 2016  9:37PM|0|Medium
156|Chicago Youth Centers - Rebecca K. Crown|Our mission is to provide every child the opportunity to experience a positive and conducive learning environment that promote learning and  school readiness. Crown Head Start Collaboaration Program provides a cognitively  based program for children ages 3 to 5 years of age. Our approach to early ch|''|7601 S Phillips Ave|Chicago|IL|60649|(773) 731-0444|http://chicagoyouthcenters.org|''|True|True|''|''|''|''|7:00am-6:00pm|''|''|''|''|''|English|''|NAEYC|''|''|''|''|''|Jun 27 2016  9:37PM|0|High
