site_name,q_stmt,q_stmt_en,ages,ecm_key,q_rating,q_stmt_es,is_part_day,id,neighborhood_id,prg_hours,city,site_type,zip,placeholder_2,state,is_full_week,is_age_lt_3,geom,availability,is_age_gt_3,is_community_based,is_school_year,email,accred,is_hs,curriculum,language_1,language_3,language_2,is_part_week,phone,accept_ccap,address,accepted,is_ehs,is_full_day,is_full_year,url,enrollment,enrollment_en,is_home_visiting,curriculum_es,curriculum_en,open_house_en,placeholder_1,open_house,open_house_es,enrollment_es,is_cps_based
Archdiocese of Chicago - Epiphany,"<p>Epiphany's preschool provides a full day program and quality educational experience for 3-5 year old children as part of a faith-based elementary school setting.  The curriculum is content rich and based on state learning standards and developmentally appropriate practices.   Assessment is used to meet the individual needs of each child.  The daily schedule allows for children to participate in small and large group activities, one-on-one with the teaching staff, or self-initiated activity.  Time for quiet and active play is also included.  Children transition seamlessly into the school's kindergarten program. Before or after school care and free/reduced price meals are available.</p>","<p>Epiphany's preschool provides a full day program and quality educational experience for 3-5 year old children as part of a faith-based elementary school setting.  The curriculum is content rich and based on state learning standards and developmentally appropriate practices.   Assessment is used to meet the individual needs of each child.  The daily schedule allows for children to participate in small and large group activities, one-on-one with the teaching staff, or self-initiated activity.  Time for quiet and active play is also included.  Children transition seamlessly into the school's kindergarten program. Before or after school care and free/reduced price meals are available.</p>",3-5,112,Licensed,,False,283,130,6:30 AM - 6:00 PM,Chicago,0,60623,,IL,True,False,POINT (-87.7302829999999716 41.8458859999999788),Medium,True,True,True,ernst@epiphanychicago.org,ISBE Recognition; AdvancEd candidate,False,,Spanish,,,False,773-762-1542,True,4223 W 25th St,True,False,True,False,http://www.epiphanychicago.org,,,False,,,,,,,,False
Jane Addams Elementary School,"<p>Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old, particularly those most in need, have access to high-quality programs. Schools are committed to creating an engaging, developmentally appropriate learning environment that supports and respects the unique potential of each individual child through best professional practices, parent engagement, and community involvement.</p>","<p>Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old, particularly those most in need, have access to high-quality programs. Schools are committed to creating an engaging, developmentally appropriate learning environment that supports and respects the unique potential of each individual child through best professional practices, parent engagement, and community involvement.</p>",3 - 5,517,Licensed,,True,543,147,,Chicago,0,60617,,IL,True,False,POINT (-87.5329677137392252 41.6985765768177217),Low,True,False,True,readysetenroll@cps.edu,,False,,,,,False,773-535-6210,False,10810 S Avenue H,True,False,False,False,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=609772,,,False,,,,,,,,True
Robert Healy Elementary School,"<p>Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old, particularly those most in need, have access to high-quality programs. Schools are committed to creating an engaging, developmentally appropriate learning environment that supports and respects the unique potential of each individual child through best professional practices, parent engagement, and community involvement.</p>","<p>Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old, particularly those most in need, have access to high-quality programs. Schools are committed to creating an engaging, developmentally appropriate learning environment that supports and respects the unique potential of each individual child through best professional practices, parent engagement, and community involvement.</p>",3 to 5,649,Silver,,True,702,156,,Chicago,0,60616,,IL,True,False,POINT (-87.6402479999999855 41.8398389999999694),Low,True,False,True,readysetenroll@cps.edu,,False,,,,,False,773-534-9190,False,3040 S Parnell Ave,True,False,False,False,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=609979,,,False,,,,,,,,True
Jonathan Y Scammon Elementary School,"<p>Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old, particularly those most in need, have access to high-quality programs. Schools are committed to creating an engaging, developmentally appropriate learning environment that supports and respects the unique potential of each individual child through best professional practices, parent engagement, and community involvement.</p>","<p>Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old, particularly those most in need, have access to high-quality programs. Schools are committed to creating an engaging, developmentally appropriate learning environment that supports and respects the unique potential of each individual child through best professional practices, parent engagement, and community involvement.</p>",3 - 5,551,Gold,,True,843,114,,Chicago,0,60641,,IL,True,False,POINT (-87.7321170000000023 41.9417410000000004),Low,True,False,True,readysetenroll@cps.edu,,False,,,,,False,773-534-3475,False,4201 W Henderson St,True,False,False,False,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610159 ,,,False,,,,,,,,True
Northwestern University Settlement House,"<p>Our mission is to nurture, educate, and inspire children and families in need, empowering them to take personal responsibility and attain self-sufficiency. We provide  West Town and Humboldt Park communities with wrap around social services, education, and arts programs. Our highest priority is  school readiness for children and families. We have highly qualified bilingual teachers  that prioritize academic and social-emotional development. We operate Rowe Elementary School and incorporate a seamless transition to kindergarten bound children.  Families are engaged in innovative initiatives that include outdoor classroom  in our camp in Wisconsin and artistic practice in our theater.</p>","<p>Our mission is to nurture, educate, and inspire children and families in need, empowering them to take personal responsibility and attain self-sufficiency. We provide  West Town and Humboldt Park communities with wrap around social services, education, and arts programs. Our highest priority is  school readiness for children and families. We have highly qualified bilingual teachers  that prioritize academic and social-emotional development. We operate Rowe Elementary School and incorporate a seamless transition to kindergarten bound children.  Families are engaged in innovative initiatives that include outdoor classroom  in our camp in Wisconsin and artistic practice in our theater.</p>",3-5,229,Gold,,False,367,123,7:30 AM - 5:30 PM,Chicago,0,60642,,IL,True,False,POINT (-87.6624899999999769 41.8997879999999867),High,True,True,True,nortiz@nush.org,NAEYC,True,,Spanish,,,False,773-278-7471,True,1400 W Augusta Blvd,True,False,True,False,http://www.nush.org,,,False,,,,,,,,False
A N Pritzker School,"<p>Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old, particularly those most in need, have access to high-quality programs. Schools are committed to creating an engaging, developmentally appropriate learning environment that supports and respects the unique potential of each individual child through best professional practices, parent engagement, and community involvement.</p>","<p>Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old, particularly those most in need, have access to high-quality programs. Schools are committed to creating an engaging, developmentally appropriate learning environment that supports and respects the unique potential of each individual child through best professional practices, parent engagement, and community involvement.</p>",3 - 5,356,Gold,,True,822,123,,Chicago,0,60622,,IL,True,False,POINT (-87.6778900000000050 41.9069559999999868),High,True,False,True,readysetenroll@cps.edu,,False,,,,,False,773-534-4415,False,2009 W Schiller St,True,False,False,False,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610229,,,False,,,,,,,,True
Ariel Elementary Community Academy,"<p>Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old, particularly those most in need, have access to high-quality programs. Schools are committed to creating an engaging, developmentally appropriate learning environment that supports and respects the unique potential of each individual child through best professional practices, parent engagement, and community involvement.</p>","<p>Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old, particularly those most in need, have access to high-quality programs. Schools are committed to creating an engaging, developmentally appropriate learning environment that supports and respects the unique potential of each individual child through best professional practices, parent engagement, and community involvement.</p>",3 - 5,367,Gold,,True,547,103,,Chicago,0,60653,,IL,True,False,POINT (-87.5981400000000008 41.8113249999999894),Low,True,False,True,readysetenroll@cps.edu,,False,,,,,False,773-535-1996,False,1119 E 46th St,True,False,False,False,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=609951,,,False,,,,,,,,True
National Teachers Elementary Academy,"<p>Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old, particularly those most in need, have access to high-quality programs. Schools are committed to creating an engaging, developmentally appropriate learning environment that supports and respects the unique potential of each individual child through best professional practices, parent engagement, and community involvement.</p>","<p>Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old, particularly those most in need, have access to high-quality programs. Schools are committed to creating an engaging, developmentally appropriate learning environment that supports and respects the unique potential of each individual child through best professional practices, parent engagement, and community involvement.</p>",3 - 5,612,Gold,,True,794,132,,Chicago,0,60616,,IL,True,False,POINT (-87.6279349999999795 41.8528039999999919),Medium,True,False,True,readysetenroll@cps.edu,,True,,,,,False,773-534-9970,False,55 W Cermak Rd,True,False,False,False,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610231,,,False,,,,,,,,True
Woodlawn Community Elementary School,"<p>Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old, particularly those most in need, have access to high-quality programs. Schools are committed to creating an engaging, developmentally appropriate learning environment that supports and respects the unique potential of each individual child through best professional practices, parent engagement, and community involvement.</p>","<p>Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old, particularly those most in need, have access to high-quality programs. Schools are committed to creating an engaging, developmentally appropriate learning environment that supports and respects the unique potential of each individual child through best professional practices, parent engagement, and community involvement.</p>",3 to 5,705,Gold,,True,901,107,,Chicago,0,60637,,IL,True,False,POINT (-87.5942949999999882 41.7734799999999851),High,True,False,True,readysetenroll@cps.edu,,True,,,,,False,773-535-0801,False,6657 S Kimbark Ave,True,False,False,False,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=609977 ,,,False,,,,,,,,True
Archdiocese of Chicago - Our Lady of Tepeyac,"<p>Our Lady of Tepeyac preschool provides a full day program and quality educational experience for 3-5 year old children as part of a faith-based elementary school setting.  The curriculum is content rich and based on state learning standards and developmentally appropriate practices.   Assessment is used to meet the individual needs of each child.  The daily schedule allows for children to participate in small and large group activities, one-on-one with the teaching staff, or self-initiated activity.  Time for quiet and active play is also included.  Children transition seamlessly into the school's kindergarten program. Before or after school care and free/reduced price meals are available.</p>","<p>Our Lady of Tepeyac preschool provides a full day program and quality educational experience for 3-5 year old children as part of a faith-based elementary school setting.  The curriculum is content rich and based on state learning standards and developmentally appropriate practices.   Assessment is used to meet the individual needs of each child.  The daily schedule allows for children to participate in small and large group activities, one-on-one with the teaching staff, or self-initiated activity.  Time for quiet and active play is also included.  Children transition seamlessly into the school's kindergarten program. Before or after school care and free/reduced price meals are available.</p>",3-5,115,Licensed,,False,377,130,6:30 AM - 6:00 PM,Chicago,0,60623,,IL,True,False,POINT (-87.7027530000000013 41.8507709999999520),High,True,True,True,cmendez@archchicago.org,ISBE Recognition; AdvancEd candidate,False,,Spanish,,,False,773-522-0024,True,2235 S Albany Ave,True,False,True,False,http://www.ourladyoftepeyacelementary.org,,,False,,,,,,,,False
Archdiocese of Chicago - St. Benedict the African,"<p>The mission of the Academy of St. Benedict the African is to nurture the body, mind and spirit of each child entrusted to our care. We believe that children learn when they feel safe, encouraged, and respected by their teachers and peers. We believe that children learn through independent play experiences, as well as their interactions with peers and adults. We believe that children learn when they are active participants in the learning process. Our goal is to forge a partnership with our families so together; we foster the social, intellectual, emotional and physical development of our young people.</p>","<p>The mission of the Academy of St. Benedict the African is to nurture the body, mind and spirit of each child entrusted to our care. We believe that children learn when they feel safe, encouraged, and respected by their teachers and peers. We believe that children learn through independent play experiences, as well as their interactions with peers and adults. We believe that children learn when they are active participants in the learning process. Our goal is to forge a partnership with our families so together; we foster the social, intellectual, emotional and physical development of our young people.</p>",3-5,122,Licensed,,False,201,163,6:15 AM - 6:15 PM,Chicago,0,60636,,IL,True,False,POINT (-87.6619210000000066 41.7842289999999750),High,True,True,True,patricia.murphy@archchicago.org,"NAEYC, AdvanceEd candidate",False,,,,,False,773-776-3316,True,6020 S Laflin St,True,False,True,False,http://www.academystbenedict.org/,,,False,,,,,,,,False
First Start Children's Academy South,"<p>Easter Seals Metropolitan Chicago is proud to offer comprehensive Head Start/Early Head Start services in partnership with First Start.  Through this partnership, First Start offers high quality early childhood education in a safe, licensed child care facility dedicated to supporting families and helping children reach their full potential.  Our program adheres to strict guidelines on performance, quality, and service delivery.</p>","<p>Easter Seals Metropolitan Chicago is proud to offer comprehensive Head Start/Early Head Start services in partnership with First Start.  Through this partnership, First Start offers high quality early childhood education in a safe, licensed child care facility dedicated to supporting families and helping children reach their full potential.  Our program adheres to strict guidelines on performance, quality, and service delivery.</p>",2-5,299,Licensed,,True,294,163,8/5/2013,Chicago,0,60636,,IL,True,True,POINT (-87.6646949999999947 41.7902999999999878),Medium,True,True,True,fsccas5700@yahoo.com,,True,,,,,True,773-778-4850,True,5700 S Ashland Ave,True,False,True,True,,,,False,,,,,,,,False
Edward A Bouchet Math & Science Academy ES,"<p>Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old, particularly those most in need, have access to high-quality programs. Schools are committed to creating an engaging, developmentally appropriate learning environment that supports and respects the unique potential of each individual child through best professional practices, parent engagement, and community involvement.</p>","<p>Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old, particularly those most in need, have access to high-quality programs. Schools are committed to creating an engaging, developmentally appropriate learning environment that supports and respects the unique potential of each individual child through best professional practices, parent engagement, and community involvement.</p>",3 to 5,430,Gold,,True,571,137,,Chicago,0,60649,,IL,True,False,POINT (-87.5761750000000063 41.7613019999999722),High,True,False,True,readysetenroll@cps.edu,,True,,,,,False,773-535-0501,False,7355 S Jeffery Blvd,True,False,False,False,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=609815,,,False,,,,,,,,True
Frank L Gillespie Elementary School,"<p>Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old, particularly those most in need, have access to high-quality programs. Schools are committed to creating an engaging, developmentally appropriate learning environment that supports and respects the unique potential of each individual child through best professional practices, parent engagement, and community involvement.</p>","<p>Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old, particularly those most in need, have access to high-quality programs. Schools are committed to creating an engaging, developmentally appropriate learning environment that supports and respects the unique potential of each individual child through best professional practices, parent engagement, and community involvement.</p>",3 - 5,458,Gold,,True,676,143,,Chicago,0,60619,,IL,True,False,POINT (-87.6234160000000060 41.7252109999999874),High,True,False,True,readysetenroll@cps.edu,,False,,,,,False,773-535-5065,False,9301 S State St,True,False,True,False,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=609939,,,False,,,,,,,,True
New Field Elementary School,"<p>Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old, particularly those most in need, have access to high-quality programs. Schools are committed to creating an engaging, developmentally appropriate learning environment that supports and respects the unique potential of each individual child through best professional practices, parent engagement, and community involvement.</p>","<p>Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old, particularly those most in need, have access to high-quality programs. Schools are committed to creating an engaging, developmentally appropriate learning environment that supports and respects the unique potential of each individual child through best professional practices, parent engagement, and community involvement.</p>",3 to 5,613,Gold,,True,786,108,,Chicago,0,60626,,IL,True,False,POINT (-87.6724569999999943 42.0077749999999881),High,True,False,True,readysetenroll@cps.edu,,True,,,,,False,773-534-2773,False,1707 W Morse Ave,True,False,False,False,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610284,,,False,,,,,,,,True
