ECMKey|Site_Name|Desc_English|Desc_Spanish|LocAddress|LocCity|LocState|LocZip|Phone_Number|URL|Ages_Served|Ages_Zero_Three_Y_N|Ages_Three_Five_Y_N|Part_Day_Y_N|Full_Day_Y_N|Full_Year_Y_N|School_Year_Y_N|Operating_Hours|School_Based_Y_N|Community_Based_Y_N|Head_Start_Y_N|Accepts_CCAP_Y_N|Home_Visiting_Y_N|Languages_other_than_English|Other_Features|Accreditation|Location|Agency_Associated_With|Modified_on|Quality_Rating|Availability_Level
384|Burnside Elementary Scholastic Academy|Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old  particularly those most in need  have access to high-quality programs. Schools are committed to creating an engaging  developmentally appropriate learning environment that supports |_|650 E 91st Pl|Chicago|IL|60619|(773) 535-3300|http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=609827|_|True|True|_|_|_|_|_|_|_|_|_|_|_|_|_|_|Chicago Public Schools|Jun 27 2016  9:37PM|_|High
385|Calmeca Academy of Fine Arts and Dual Language|Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old  particularly those most in need  have access to high-quality programs. Schools are committed to creating an engaging  developmentally appropriate learning environment that supports |_|3456 W 38th St|Chicago|IL|60632|(773) 535-7000|http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610353|_|True|True|_|_|_|_|_|_|_|_|_|_|_|_|_|_|Chicago Public Schools|Jun 27 2016  9:37PM|_|High
386|Carl von Linne ES|Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old  particularly those most in need  have access to high-quality programs. Schools are committed to creating an engaging  developmentally appropriate learning environment that supports |_|3221 N Sacramento Ave|Chicago|IL|60618|(773) 534-5262|http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610039|_|True|True|_|_|_|_|_|_|_|_|_|_|_|_|_|_|Chicago Public Schools|Jun 27 2016  9:37PM|_|Low
387|Carrie Jacobs Bond ES|Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old  particularly those most in need  have access to high-quality programs. Schools are committed to creating an engaging  developmentally appropriate learning environment that supports |_|7050 S May St|Chicago|IL|60621|(773) 535-3480|http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610238|_|True|True|_|_|_|_|_|_|_|_|_|_|_|_|_|_|Chicago Public Schools|Jun 27 2016  9:37PM|_|High
388|Carroll-Rosenwald Specialty ES|Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old  particularly those most in need  have access to high-quality programs. Schools are committed to creating an engaging  developmentally appropriate learning environment that supports |_|2601 W 80th Street|Chicago|IL|60652|(773) 535-9414|http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=609839|_|True|True|_|_|_|_|_|_|_|_|_|_|_|_|_|_|Chicago Public Schools|Jun 27 2016  9:37PM|_|Medium
389|Carter G Woodson South ES|Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old  particularly those most in need  have access to high-quality programs. Schools are committed to creating an engaging  developmentally appropriate learning environment that supports |_|4511 S Evans Ave |Chicago|IL|60653|(773) 535-1280|http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610345|_|True|True|_|_|_|_|_|_|_|_|_|_|_|_|_|_|Chicago Public Schools|Jun 27 2016  9:37PM|_|Low
390|Casimir Pulaski Elementary Fine Arts Academy|Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old  particularly those most in need  have access to high-quality programs. Schools are committed to creating an engaging  developmentally appropriate learning environment that supports |_|2230 W McLean Ave|Chicago|IL|60647|(773) 534-4391|http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610138|_|True|True|_|_|_|_|_|_|_|_|_|_|_|_|_|_|Chicago Public Schools|Jun 27 2016  9:37PM|_|Low
391|Cesar E Chavez Multicultural Academic Center ES|Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old  particularly those most in need  have access to high-quality programs. Schools are committed to creating an engaging  developmentally appropriate learning environment that supports |_|4749 S Damen Ave|Chicago|IL|60609|(773) 535-4600|http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610148|_|True|True|_|_|_|_|_|_|_|_|_|_|_|_|_|_|Chicago Public Schools|Jun 27 2016  9:37PM|_|Low
392|Charles Evans Hughes ES|Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old  particularly those most in need  have access to high-quality programs. Schools are committed to creating an engaging  developmentally appropriate learning environment that supports |_|4247 W 15th St|Chicago|IL|60623|(773) 534-1762|http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610005|_|True|True|_|_|_|_|_|_|_|_|_|_|_|_|_|_|Chicago Public Schools|Jun 27 2016  9:37PM|_|High
393|Charles G Hammond ES|Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old  particularly those most in need  have access to high-quality programs. Schools are committed to creating an engaging  developmentally appropriate learning environment that supports |_|2819 W 21st Pl|Chicago|IL|60623|(773) 535-4580|http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=609966|_|True|True|_|_|_|_|_|_|_|_|_|_|_|_|_|_|Chicago Public Schools|Jun 27 2016  9:37PM|_|High
394|Charles Gates Dawes ES|Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old  particularly those most in need  have access to high-quality programs. Schools are committed to creating an engaging  developmentally appropriate learning environment that supports |_|3810 W 81st Pl|Chicago|IL|60652|(773) 535-2350|http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=609879|_|True|True|_|_|_|_|_|_|_|_|_|_|_|_|_|_|Chicago Public Schools|Jun 27 2016  9:37PM|_|Low
395|Charles H Wacker ES|Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old  particularly those most in need  have access to high-quality programs. Schools are committed to creating an engaging  developmentally appropriate learning environment that supports |_|9746 S Morgan St|Chicago|IL|60643|(773) 535-2821|http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610366 |_|True|True|_|_|_|_|_|_|_|_|_|_|_|_|_|_|Chicago Public Schools|Jun 27 2016  9:37PM|_|Low
396|Charles Kozminski Elementary Community Academy|Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old  particularly those most in need  have access to high-quality programs. Schools are committed to creating an engaging  developmentally appropriate learning environment that supports |_|936 E 54th St|Chicago|IL|60615|(773) 535-0980|http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610030|_|True|True|_|_|_|_|_|_|_|_|_|_|_|_|_|_|Chicago Public Schools|Jun 27 2016  9:37PM|_|Medium
397|Charles N Holden ES|Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old  particularly those most in need  have access to high-quality programs. Schools are committed to creating an engaging  developmentally appropriate learning environment that supports |_|1104 W 31st St|Chicago|IL|60608|(773) 535-7200|http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=609996|_|True|True|_|_|_|_|_|_|_|_|_|_|_|_|_|_|Chicago Public Schools|Jun 27 2016  9:37PM|_|Low
398|Charles P Caldwell Academy of Math & Science ES|Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old  particularly those most in need  have access to high-quality programs. Schools are committed to creating an engaging  developmentally appropriate learning environment that supports |_|8546 S Cregier Ave|Chicago|IL|60617|(773) 535-6300|http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=609833|_|True|True|_|_|_|_|_|_|_|_|_|_|_|_|_|_|Chicago Public Schools|Jun 27 2016  9:37PM|_|Low
399|Charles R Darwin ES|Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old  particularly those most in need  have access to high-quality programs. Schools are committed to creating an engaging  developmentally appropriate learning environment that supports |_|3116 W Belden Ave|Chicago|IL|60647|(773) 534-4110|http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=609875|_|True|True|_|_|_|_|_|_|_|_|_|_|_|_|_|_|Chicago Public Schools|Jun 27 2016  9:37PM|_|Low
400|Charles R Henderson ES|Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old  particularly those most in need  have access to high-quality programs. Schools are committed to creating an engaging  developmentally appropriate learning environment that supports |_|5650 S Wolcott Ave|Chicago|IL|60636|(773) 535-9080|http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=609986|_|True|True|_|_|_|_|_|_|_|_|_|_|_|_|_|_|Chicago Public Schools|Jun 27 2016  9:37PM|_|Low
401|Charles S Brownell Elementary School|Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old  particularly those most in need  have access to high-quality programs. Schools are committed to creating an engaging  developmentally appropriate learning environment that supports |_|6741 S Michigan Ave|Chicago|IL|60637|(773) 535-3030|http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=609813|_|True|True|_|_|_|_|_|_|_|_|_|_|_|_|_|_|Chicago Public Schools|Jun 27 2016  9:37PM|_|High
402|Charles S Deneen ES|Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old  particularly those most in need  have access to high-quality programs. Schools are committed to creating an engaging  developmentally appropriate learning environment that supports |_|7240 S Wabash Ave|Chicago|IL|60619|(773) 535-3035|http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=609883|_|True|True|_|_|_|_|_|_|_|_|_|_|_|_|_|_|Chicago Public Schools|Jun 27 2016  9:37PM|_|Low
403|Charles Sumner Math & Science Community Acad ES|Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old  particularly those most in need  have access to high-quality programs. Schools are committed to creating an engaging  developmentally appropriate learning environment that supports |_|4320 W 5th Ave|Chicago|IL|60624|(773) 534-6730|http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610194 |_|True|True|_|_|_|_|_|_|_|_|_|_|_|_|_|_|Chicago Public Schools|Jun 27 2016  9:37PM|_|Low
404|Charles W Earle ES|Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old  particularly those most in need  have access to high-quality programs. Schools are committed to creating an engaging  developmentally appropriate learning environment that supports |_|2040 W 62nd St|Chicago|IL|60636|(773) 535-9130|http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=609897|_|True|True|_|_|_|_|_|_|_|_|_|_|_|_|_|_|Chicago Public Schools|Jun 27 2016  9:37PM|_|Medium
405|Chicago Academy ES|Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old  particularly those most in need  have access to high-quality programs. Schools are committed to creating an engaging  developmentally appropriate learning environment that supports |_|3400 N Austin Ave|Chicago|IL|60634|(773) 534-0146|http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610248|_|True|True|_|_|_|_|_|_|_|_|_|_|_|_|_|_|Chicago Public Schools|Jun 27 2016  9:37PM|_|Low
406|Christopher Columbus ES|Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old  particularly those most in need  have access to high-quality programs. Schools are committed to creating an engaging  developmentally appropriate learning environment that supports |_|1003 N Leavitt St|Chicago|IL|60622|(773) 534-4350|http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=609863|_|True|True|_|_|_|_|_|_|_|_|_|_|_|_|_|_|Chicago Public Schools|Jun 27 2016  9:37PM|_|Low
407|Clara Barton ES|Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old  particularly those most in need  have access to high-quality programs. Schools are committed to creating an engaging  developmentally appropriate learning environment that supports |_|7650 S Wolcott Ave|Chicago|IL|60620|(773) 535-3260|http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=609790|_|True|True|_|_|_|_|_|_|_|_|_|_|_|_|_|_|Chicago Public Schools|Jun 27 2016  9:37PM|_|Low
408|Claremont Academy ES|Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old  particularly those most in need  have access to high-quality programs. Schools are committed to creating an engaging  developmentally appropriate learning environment that supports |_|2300 W 64th St|Chicago|IL|60636|(773) 535-8110|http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610347|_|True|True|_|_|_|_|_|_|_|_|_|_|_|_|_|_|Chicago Public Schools|Jun 27 2016  9:37PM|_|Low
409|Columbia Explorers Academy|Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old  particularly those most in need  have access to high-quality programs. Schools are committed to creating an engaging  developmentally appropriate learning environment that supports |_|4520 S Kedzie Ave|Chicago|IL|60632|(773) 535-4050|http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610170|_|True|True|_|_|_|_|_|_|_|_|_|_|_|_|_|_|Chicago Public Schools|Jun 27 2016  9:37PM|_|Low
410|Crown Community Academy of Fine Arts Center ES|Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old  particularly those most in need  have access to high-quality programs. Schools are committed to creating an engaging  developmentally appropriate learning environment that supports |_|2128 S Saint Louis Ave|Chicago|IL|60623|(773) 534-1680|http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=609873|_|True|True|_|_|_|_|_|_|_|_|_|_|_|_|_|_|Chicago Public Schools|Jun 27 2016  9:37PM|_|Medium
411|Cyrus H McCormick ES|Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old  particularly those most in need  have access to high-quality programs. Schools are committed to creating an engaging  developmentally appropriate learning environment that supports |_|2712 S Sawyer Ave|Chicago|IL|60623|(773) 535-7252|http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610063|_|True|True|_|_|_|_|_|_|_|_|_|_|_|_|_|_|Chicago Public Schools|Jun 27 2016  9:37PM|_|Low
412|Daniel Boone ES|Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old  particularly those most in need  have access to high-quality programs. Schools are committed to creating an engaging  developmentally appropriate learning environment that supports |_|6710 N Washtenaw Ave|Chicago|IL|60645|(773) 534-2160|http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=609804|_|True|True|_|_|_|_|_|_|_|_|_|_|_|_|_|_|Chicago Public Schools|Jun 27 2016  9:37PM|_|Low
413|Daniel C Beard ES|Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old  particularly those most in need  have access to high-quality programs. Schools are committed to creating an engaging  developmentally appropriate learning environment that supports |_|6445 W Strong St|Chicago|IL|60656|(773) 534-1228|http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610083|_|True|True|_|_|_|_|_|_|_|_|_|_|_|_|_|_|Chicago Public Schools|Jun 27 2016  9:37PM|_|High
