ORG_NAME,ADDR_LINE_1,ADDR_CITY,ADDR_POSTAL_CODE,APP_TYPE,CIRCLE,Provisional
McDowell Elem School,1419 E 89th St,Chicago,60619-7196,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Johnson Elem School,1420 S Albany Ave,Chicago,60623-2205,Preschool for All/Prevention Initiative,Gold Circle of Quality,
McKay Elem School,6901 S Fairfield Ave,Chicago,60629-1912,Preschool for All/Prevention Initiative,Gold Circle of Quality,
McPherson Elem School,4728 N Wolcott Ave,Chicago,60640-4364,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Melody Elem School,3937 W Wilcox St,Chicago,60624-2833,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Jungman Elem School,1746 S Miller St,Chicago,60608-2313,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Kanoon Elem Magnet School,2233 S Kedzie Ave,Chicago,60623-3317,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Kellman Corporate Community Elem,3030 W Arthington St,Chicago,60612-3903,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Monroe Elem School,3651 W Schubert Ave,Chicago,60647-1157,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Morrill Elem Math & Sci School,6011 S Rockwell St,Chicago,60629-1133,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Kilmer Elem School,6700 N Greenview Ave,Chicago,60626-4208,Preschool for All/Prevention Initiative,Gold Circle of Quality,
King Academy of Social Justice,644 W 71st St,Chicago,60621-2357,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Lara Elem Academy,4619 S Wolcott Ave,Chicago,60609-3855,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Nixon Elem School,2121 N Keeler Ave,Chicago,60639-3603,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Lawndale Elem Community Academy,3500 W Douglas Blvd,Chicago,60623-1634,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Lee Elem School,6448 S Tripp Ave,Chicago,60629-5121,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Leland Elem School,512 S Lavergne Ave,Chicago,60644-4948,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Lewis Elem School,1431 N Leamington Ave,Chicago,60651-1444,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Linne Elem School,3221 N Sacramento Ave,Chicago,60618-5825,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Little Village Elem School,2620 N Lamon Ave,Chicago,60639,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Logandale Middle School,3212 W George St,Chicago,60618-7529,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Lovett Elem School,6333 W Bloomingdale Ave,Chicago,60639-3817,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Lowell Elem School,3320 W Hirsch St,Chicago,60651-2361,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Madison Elem School,7433 S Dorchester Ave,Chicago,60619-2194,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Marquette Elem School,8050 S Chappel Ave,Chicago,60617-1091,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Marsh Elem School,9822 S Exchange Ave,Chicago,60617,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Mason Elem School,4217 W 18th St,Chicago,60623-2325,Preschool for All/Prevention Initiative,Silver Circle of Quality,
McAuliffe Elem School,1841 N Springfield Ave,Chicago,60647-4600,Preschool for All/Prevention Initiative,Gold Circle of Quality,
McLellan Elem School,3527 S Wallace St,Chicago,60609-1737,Preschool for All/Prevention Initiative,Gold Circle of Quality,
McCormick Elem School,2712 S Sawyer Ave,Chicago,60623-4738,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Carole Robertson Center for Le,2929 W 19th St,Chicago,60623-2240,Licensed Child Care Center,Gold Circle of Quality,
New Concept School,7825 S Ellis Ave,Chicago,60619-3294,Licensed Child Care Center,Gold Circle of Quality,
Drummond Elementary School,1845 W Cortland St,Chicago,60622-1036,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Suder Montessori Elementary Magnet School,2022 W Washington Blvd,Chicago,60612-2429,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Inter-American Elementary Magnet School,851 W Waveland Ave,Chicago,60613-4301,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Mayer Elementary School,2250 N Clifton Ave,Chicago,60614-3523,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Kindercare Learning Center 301584,1501 S State St,Chicago,60605-2804,Licensed Child Care Center,Gold Circle of Quality,
Ravenswood Community Child Care Center,4908 N Damen Ave,Chicago,60625-1415,Licensed Child Care Center,Gold Circle of Quality,
The Preschool Center at C.C.C. Society,5467 S University Ave,Chicago,60615-5114,Licensed Child Care Center,Gold Circle of Quality,
Taylor Center for New Experiences,1633 N Hamlin Ave,Chicago,60647-4607,Licensed Child Care Center,Gold Circle of Quality,
Stepping Stone Early Childhood Learning,1300 E 75th St,Chicago,60619-1420,Licensed Child Care Center,Gold Circle of Quality,
Little Kiddies Day Care Center,1503 W Devon Ave,Chicago,60660-1313,Licensed Child Care Center,Silver Circle of Quality (PROVISIONAL),Provisional
"A-Karrasel Enterprises, Inc.",3420 W Fullerton Ave,Chicago,60647-2416,Licensed Child Care Center,Silver Circle of Quality,
Galewood School Inc.,5504 W Fullerton Ave,Chicago,60639-1329,Licensed Child Care Center,Silver Circle of Quality,
Florence G. Heller Jewish Comm. Center,524 W Melrose St,Chicago,60657-3752,Licensed Child Care Center,Gold Circle of Quality,
A Karrasel Nursery School & Kindergarten,3030 N Kedzie Ave,Chicago,60618-6907,Licensed Child Care Center,Silver Circle of Quality (PROVISIONAL),Provisional
Chin.Amer.Ser.Lge. Child Dev/Sch Age Ctr,2141 S Tan Ct,Chicago,60616-1998,Licensed Child Care Center,Gold Circle of Quality,
The Children's Ctr for Creative Learning,7954 S Western Ave # 7958,Chicago,60620-5911,Licensed Child Care Center,Gold Circle of Quality,
"Kid'z Colony Day Care, Inc.",6287 S Archer Ave # 95,Chicago,60638-2547,Licensed Child Care Center,Gold Circle of Quality,
All About Kids Learning Academy Inc,514 E 75th St,Chicago,60619-2204,Licensed Child Care Center,Silver Circle of Quality,
"ABC & Me Daycare Center, Inc",4714 N Sheridan Rd,Chicago,60640-5022,Licensed Child Care Center,Gold Circle of Quality,
Cordi Marian Center,1100 S May St,Chicago,60607-4229,Licensed Child Care Center,Gold Circle of Quality,
Teddy Bear Day Care Center,5160 S Pulaski Rd,Chicago,60632-4253,Licensed Child Care Center,Silver Circle of Quality (PROVISIONAL),Provisional
Roseland Child Development Center,461 E 111th St,Chicago,60628-4558,Licensed Child Care Center,Gold Circle of Quality,
Concordia Place,3855 N Seeley Ave,Chicago,60618-3911,Licensed Child Care Center,Gold Circle of Quality,
Metropolitan Fam Srvs Children's Center,3215 W 63rd St,Chicago,60629-3354,Licensed Child Care Center,Gold Circle of Quality,
Wee Wee Center for Creative Learning,2434 W 71st St,Chicago,60629-1447,Licensed Child Care Center,Gold Circle of Quality,
Diversey Day Care Center & Kindergarten,3155 W Diversey Ave,Chicago,60647-1557,Licensed Child Care Center,Silver Circle of Quality,
Marshall YMCA,3250 W Adams St,Chicago,60624-2901,Licensed Child Care Center,Gold Circle of Quality,
Blaine Elem School,1420 W Grace St,Chicago,60613-2802,Preschool for All/Prevention Initiative,Gold Circle of Quality,
"South-East Asia Center, Broadway",5120 N Broadway St,Chicago,60640-3004,Licensed Child Care Center,Gold Circle of Quality,
Little Kids Village Learning II,2656 W 71st St,Chicago,60629-2053,Licensed Child Care Center,Silver Circle of Quality,
It Takes A Village Services Inc,4000 W Division St,Chicago,60651-1903,Licensed Child Care Center,Silver Circle of Quality,
Kimball Day Care Center & Kindergarten,1636 N Kimball Ave # 38,Chicago,60647-4804,Licensed Child Care Center,Silver Circle of Quality,
Christopher House Logan Square,3255 W Altgeld St,Chicago,60647-2566,Licensed Child Care Center,Gold Circle of Quality,
Midway Head Start Center,6422 S Kedzie Ave,Chicago,60629-2857,Licensed Child Care Center,Gold Circle of Quality,
Kershaw Elementary Head Start,6450 S Lowe Ave,Chicago,60621-2706,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Concordia Place,3300 N Whipple St,Chicago,60618-5718,Licensed Child Care Center,Gold Circle of Quality,
Rogers Park Children's Center,1754 W Devon Ave # 56,Chicago,60660-1130,Licensed Child Care Center,Gold Circle of Quality,
Higher Learning Daycare & Education Ctr,2526 E 73rd St,Chicago,60649-2641,Licensed Child Care Center,Silver Circle of Quality (PROVISIONAL),Provisional
Toddler Town DayCare Too,5934 W Diversey Ave,Chicago,60639-1138,Licensed Child Care Center,Gold Circle of Quality,
Ezzard Charles Nursery Center,7949 S Ashland Ave,Chicago,60620-4336,Licensed Child Care Center,Gold Circle of Quality,
First Start Childcare Academy,4753 W Washington Blvd # 59,Chicago,60644-3620,Licensed Child Care Center,Silver Circle of Quality,
Albany Child Care Center,5954 S Albany Ave,Chicago,60629-2509,Licensed Child Care Center,Gold Circle of Quality,
Jellybean Learning Center,8501 S Ashland Ave,Chicago,60620-4710,Licensed Child Care Center,Silver Circle of Quality,
Winthrop Children's Center,4848 N Winthrop Ave,Chicago,60640-3616,Licensed Child Care Center,Gold Circle of Quality,
KCLC DBA University Childrens Ctr,446 E Ontario St,Chicago,60611-4418,Licensed Child Care Center,Gold Circle of Quality,
Little Folks Day Care,2527 E 73rd St,Chicago,60649-2616,Licensed Child Care Center,Silver Circle of Quality,
Mary Crane Morse Site,1545 W Morse Ave,Chicago,60626-3306,Licensed Child Care Center,Gold Circle of Quality,
The Lutheran Day Nursery of Chicago,1802 - 1808 North Fairfield,Chicago,60647-4214,Licensed Child Care Center,Gold Circle of Quality,
Little Hands Child Creative Center,7146 S Ashland Ave # 48,Chicago,60636-3914,Licensed Child Care Center,Silver Circle of Quality,
Edgewater Early Learning Center,5244 N Lakewood Ave,Chicago,60640-2221,Licensed Child Care Center,Gold Circle of Quality,
"Whiz Kids Nursery Center, Inc",514 518 W 103rd St,Chicago,60628-2404,Licensed Child Care Center,Silver Circle of Quality,
Little Angels Learning Center,6701 S Emerald Ave,Chicago,60621-2509,Licensed Child Care Center,Silver Circle of Quality (PROVISIONAL),Provisional
Centers for New Horizons Inc Effie Ellis,4301 S Cottage Grove Ave,Chicago,60653-3513,Licensed Child Care Center,Gold Circle of Quality,
Lloyd Elem School,2103 N Lamon Ave,Chicago,60639-3238,Preschool for All/Prevention Initiative,Gold Circle of Quality,
1st Lutheran H.S. Prog/Logan Square YMCA,3500 W Fullerton Ave,Chicago,60647-2418,Licensed Child Care Center,Gold Circle of Quality,
Channing's Child Care Academy,5701 W Division St,Chicago,60651-1115,Licensed Child Care Center,Silver Circle of Quality (PROVISIONAL),Provisional
Happy Kids Learning Center,4545 N Kedzie Ave,Chicago,60625-4510,Licensed Child Care Center,Silver Circle of Quality,
Young Achievers Academy,518 E 79th St # 520,Chicago,60619-3002,Licensed Child Care Center,Gold Circle of Quality (PROVISIONAL),Provisional
"Imani Childrens Academy, Inc.",11443 S Halsted St,Chicago,60628-5201,Licensed Child Care Center,Gold Circle of Quality,
Bridgeport Child Development Center II,514 W 31st St,Chicago,60616-3106,Licensed Child Care Center,Gold Circle of Quality,
Gallistel State Pre-K/Elem Language Academy,10347 S Ewing Ave,Chicago,60617-6028,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Higgins Head Start/Elem Community Academy,11710 S Morgan St,Chicago,60643-5249,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Whistler School,11533 S Ada St,Chicago,60643-5198,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Kozminski Elem Community Academy,936 E 54th St,Chicago,60615-5074,Preschool for All/Prevention Initiative,Silver Circle of Quality,
"Little Genius Community DCC, Inc.",11439 S Michigan Ave,Chicago,60628-4901,Licensed Child Care Center,Silver Circle of Quality,
Allison's Infant & Toddler Center,5522 S Racine Ave,Chicago,60636-1422,Licensed Child Care Center,Gold Circle of Quality,
Children International Academy,5858 W Roosevelt Rd,Chicago,60644-1470,Licensed Child Care Center,Silver Circle of Quality (PROVISIONAL),Provisional
"Brite New Mind Day Care Center, Inc",112 E 51st St,Chicago,60615-2107,Licensed Child Care Center,Gold Circle of Quality,
New Pisgah Day Care,8128 S Racine Ave,Chicago,60620-3013,Licensed Child Care Center,Silver Circle of Quality,
Teddy Bear Nursery School #3,6401 S Pulaski Rd,Chicago,60629-5133,Licensed Child Care Center,Silver Circle of Quality (PROVISIONAL),Provisional
Allison's Infant & Toddler Center,234 E 115th St,Chicago,60628-5015,Licensed Child Care Center,Gold Circle of Quality,
Metcalfe Elementary Community Academy,12239 S Normal Ave,Chicago,60628-6403,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Fuller Head Start/Elem School,4214 S Saint Lawrence Ave,Chicago,60653-2926,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Robinson Elementary School,4225 S Lake Park Ave,Chicago,60653-3064,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Northwestern University Settlement Assn.,1400 W Augusta Blvd,Chicago,60642-3939,Licensed Child Care Center,Gold Circle of Quality,
KACS Early Childhood Center,4300 N California Ave,Chicago,60618-1514,Licensed Child Care Center,Gold Circle of Quality,
The Learning Tree Preschool II,8233 S Pulaski Rd,Chicago,60652-2927,Licensed Child Care Center,Silver Circle of Quality,
Metropolitan Family SVCS N Children Ctr,3255 N Central Ave,Chicago,60634-4360,Licensed Child Care Center,Gold Circle of Quality,
Near South Side Child Dev Center,2230 S Federal St,Chicago,60616-2044,Licensed Child Care Center,Gold Circle of Quality,
Kindercare Learning Center #070456,3855 N Elston Ave,Chicago,60618-4232,Licensed Child Care Center,Gold Circle of Quality,
Saucedo Elem Scholastic Academy,2850 W 24th Blvd,Chicago,60623-3508,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Jeanne Kenney YMCA Day Care Center,7600 S Parnell Ave,Chicago,60620-1824,Licensed Child Care Center,Gold Circle of Quality,
Eyes On The Future Child Care Center,7015 N Ravenswood Ave,Chicago,60626-2301,Licensed Child Care Center,Gold Circle of Quality (PROVISIONAL),Provisional
Little Bear Day Care LLC,6411-6413 & 6415 South Pulaski,Chicago,60629,Licensed Child Care Center,Silver Circle of Quality,
Happy Kids Preschool&Daycare Center LLC,7622 W Belmont Ave,Chicago,60634-3287,Licensed Child Care Center,Silver Circle of Quality,
Prodigy Child Learning Center,1921 E 79th St,Chicago,60649-4619,Licensed Child Care Center,Silver Circle of Quality (PROVISIONAL),Provisional
Little Einsteinss Daycare Inc,3640 W Wrightwood Ave # 3644,Chicago,60647-1153,Licensed Child Care Center,Silver Circle of Quality (PROVISIONAL),Provisional
Our Lady of Tepeyac,2414 S Albany Ave,Chicago,60623-4103,Licensed Child Care Center,Gold Circle of Quality,
Allison's Infant and Toddler Center,440 E 71st St # 442,Chicago,60619-1129,Licensed Child Care Center,Gold Circle of Quality,
Gina's Unbelievable Learning Center,7239 S Dobson Ave,Chicago,60619-1300,Licensed Child Care Center,Gold Circle of Quality,
North Kenwood Day Care Center,516 E 43rd St # 518,Chicago,60653-2920,Licensed Child Care Center,Silver Circle of Quality,
Albany Park Community Center-Uptown,1020 W Bryn Mawr Ave,Chicago,60660-4627,Licensed Child Care Center,Gold Circle of Quality,
Bernice E. Lavin Children's Care Center,441 E Ontario St,Chicago,60611-3019,Licensed Child Care Center,Gold Circle of Quality,
YMCA Orr Family Development Center,730 N Pulaski Rd,Chicago,60624-1063,Licensed Child Care Center,Gold Circle of Quality,
North Star Child Development Inc,4341 W North Ave,Chicago,60639-4854,Licensed Child Care Center,Silver Circle of Quality,
Pulaski Intl Sch of Chicago,2230 W McLean Ave,Chicago,60647-4410,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Nightingale Elem School,5250 S Rockwell St,Chicago,60632-1540,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Shields Elem School,4250 S Rockwell St,Chicago,60632-1216,Preschool for All/Prevention Initiative,Silver Circle of Quality,
North River Elem School,4416 N Troy St,Chicago,60625,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Talcott Elem School,1840 W Ohio St,Chicago,60622-5505,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Moos Elem School,1711 N California Ave,Chicago,60647-5103,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Jordan Elem Community School,7414 N Wolcott Ave,Chicago,60626-1519,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Peck Elementary School,3826 W 58th St,Chicago,60629-3849,Preschool for All/Prevention Initiative,Gold Circle of Quality,
New Field School,1707 W Morse Ave,Chicago,60626-3203,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Zapata Elem Academy,2728 S Kostner Ave,Chicago,60623-4218,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Salvation Army Incarnation - Head Start,1345 N Karlov Ave,Chicago,60651-1958,Licensed Child Care Center,Gold Circle of Quality,
Ninos Heroes Elem Academic Ctr,8344 S Commercial Ave,Chicago,60617-2145,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Seward Elem Communication Arts Ac,4600 S Hermitage Ave,Chicago,60609-3831,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Spencer Technology Acad Elem Sch,214 N Lavergne Ave,Chicago,60644-2517,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Morton Elem Career Academy,431 N Troy St,Chicago,60612-1713,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Nettelhorst School,3252 N Broadway St,Chicago,60657-3521,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Centers for New Horizons Ida B Wells,3901 S State St,Chicago,60609-2906,Licensed Child Care Center,Gold Circle of Quality,
Stagg Elem School,7424 S Morgan St,Chicago,60621-1047,Preschool for All/Prevention Initiative,Silver Circle of Quality,
UIC Children's Center-II,1919 W Taylor St,Chicago,60612-7246,Licensed Child Care Center,Gold Circle of Quality,
Jellybean Learning Center III,7419 S Cottage Grove Ave,Chicago,60619-1911,Licensed Child Care Center,Silver Circle of Quality,
Chase Elementary School/Head Start,2021 N Point St,Chicago,60647-4016,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Addams Elem School,10810 S Avenue H,Chicago,60617-6726,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Agassiz Elem School,2851 N Seminary Ave,Chicago,60657-4363,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Aldridge Elem School,630 E 131st St,Chicago,60827-1398,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Armour Elem School,950 W 33rd Pl,Chicago,60608-6787,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Avalon Park Elem School,8045 S Kenwood Ave,Chicago,60619-3494,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Barry Elem School,2828 N Kilbourn Ave,Chicago,60641-5381,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Nicholson Technology Acad Elem Sch,6006 S Peoria St,Chicago,60621-2195,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Beaubien Elem School,5025 N Laramie Ave,Chicago,60630-2326,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Belding Elem School,4257 N Tripp Ave,Chicago,60641-2086,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Haley Elem Academy,11411 S Eggleston Ave,Chicago,60628-4700,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Brown W Elem School,54 N Hermitage Ave,Chicago,60612-2699,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Brownell Elem School,6741 S Michigan Ave,Chicago,60637-3920,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Budlong Elem School,2701 W Foster Ave,Chicago,60625-3507,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Burnham Elem Inclusive Academy,9928 S Crandon Ave,Chicago,60617-5294,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Burroughs Elem School,3542 S Washtenaw Ave,Chicago,60632-1639,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Carnegie Elem School,1414 E 61st Pl,Chicago,60637-2999,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Chappell Elem School,2135 W Foster Ave,Chicago,60625-1268,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Clinton Elem School,6110 N Fairfield Ave,Chicago,60659-2647,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Coles Elem Language Academy,8441 S Yates Blvd,Chicago,60617-1995,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Columbus Elem School,1003 N Leavitt St,Chicago,60622-3522,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Cook Elem School,8150 S Bishop St,Chicago,60620-3810,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Dawes Elem School,3810 W 81st Pl,Chicago,60652-2400,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Deneen Elem School,7240 S Wabash Ave,Chicago,60619-1092,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Dever Elem School,3436 N Osceola Ave,Chicago,60634-3344,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Eberhart Elem School,3400 W 65th Pl,Chicago,60629-3495,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Ebinger Elem School,7350 W Pratt Ave,Chicago,60631-1199,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Esmond Elem School,1865 W Montvale Ave,Chicago,60643-4217,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Evers Elem School,9811 S Lowe Ave,Chicago,60628-1097,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Fort Dearborn Elem School,9025 S Throop St,Chicago,60620-3599,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Onahan Elementary School,6634 W Raven St,Chicago,60631-2587,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Oriole Park Elementary School,5424 N Oketo Ave,Chicago,60656-1747,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Palmer Elementary School,5051 N Kenneth Ave,Chicago,60630-2620,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Greene N Elem School,3525 S Honore St,Chicago,60609-1210,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Parkside Elementary Comm Academy,6938 S East End Ave,Chicago,60649-1499,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Goethe Elem School,2236 N Rockwell St,Chicago,60647-3004,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Owens Community Academy ES,12302 S State St,Chicago,60628-6899,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Gray Elem School,3730 N Laramie Ave,Chicago,60641-3338,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Peirce Elementary Intl Studies School,1423 W Bryn Mawr Ave,Chicago,60660-4299,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Greeley Elem School,832 W Sheridan Rd,Chicago,60613-3096,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Haines Elem School,247 W 23rd Pl,Chicago,60616-1995,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Washington H Elementary School,9130 S University Ave,Chicago,60619-7922,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Gillespie Elem School,9301 S State St,Chicago,60619-7296,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Peterson Elementary School,5510 N Christiana Ave,Chicago,60625-4681,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Hamilton Elem School,1650 W Cornelia Ave,Chicago,60657-1298,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Harte Elem School,1556 E 56th St,Chicago,60637-1998,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Harvard Elem School,7525 S Harvard Ave,Chicago,60620-1670,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Haugan Elem School,4540 N Hamlin Ave,Chicago,60625-5779,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Hayt Elem School,1518 W Granville Ave,Chicago,60660-1898,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Pirie Elementary Fine Arts & Academic C,650 E 85th St,Chicago,60619-6112,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Hendricks Elem Community Academy,4316 S Princeton Ave,Chicago,60609-3692,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Hinton Elem School,644 W 71st St,Chicago,60621-2399,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Prescott Elementary School,1632 W Wrightwood Ave,Chicago,60614-1970,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Hitch Elem School,5625 N McVicker Ave,Chicago,60646-6173,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Irving Elem School,749 S Oakley Blvd,Chicago,60612-3514,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Pullman Elementary School,11311 S Forrestville Ave,Chicago,60628-5107,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Hughes C Elem School,4247 W 15th St,Chicago,60623-1999,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Ravenswood Elementary School,4332 N Paulina St,Chicago,60613-1297,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Howe Elem School,720 N Lorel Ave,Chicago,60644-1666,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Holmes Elem School,955 W Garfield Blvd,Chicago,60621-2293,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Holden Elem School,1104 W 31st St,Chicago,60608-5699,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Ray Elementary School,5631 S Kimbark Ave,Chicago,60637-1605,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Jahn Elem School,3149 N Wolcott Ave,Chicago,60657-2095,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Jamieson Elem School,5650 N Mozart St,Chicago,60659-4899,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Reilly Elem School,3650 W School St,Chicago,60618-5358,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Kinzie Elem School,5625 S Mobile Ave,Chicago,60638-3459,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Lozano Elem Bilingual & Intl Ctr,1501 N Greenview Ave,Chicago,60642-2355,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Locke J Elem School,2828 N Oak Park Ave,Chicago,60634-4866,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Mount Greenwood Elem School,10841 S Homan Ave,Chicago,60655-2611,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Revere Elementary School,1010 E 72nd St,Chicago,60619-1398,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Mollison Elem School,4415 S King Dr,Chicago,60653-3310,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Mitchell Elem School,2233 W Ohio St,Chicago,60612-1525,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Rogers Elementary School,7345 N Washtenaw Ave,Chicago,60645-1429,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Mann Elem School,8050 S Chappel Ave,Chicago,60617-1091,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Manierre Elem School,1420 N Hudson Ave,Chicago,60610-1198,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Mount Vernon Elem School,10540 S Morgan St,Chicago,60643-3098,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Mozart Elem School,2200 N Hamlin Ave,Chicago,60647-2214,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Murphy Elem School,3539 W Grace St,Chicago,60618-4237,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Brown R Elem Community Acad,12607 S Union Ave,Chicago,60628-7099,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Nash Elem School,4837 W Erie St,Chicago,60644-1720,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Garvey M Elementary School,10309 S Morgan St,Chicago,60643-3096,Preschool for All/Prevention Initiative,Gold Circle of Quality,
