ECMKey|Site_Name|LocAddress|LocCity|LocState|LocZip|Phone_Number|URL|Ages_Served|Ages_Zero_Three_Y_N|Ages_Three_Five_Y_N|Part_Day_Y_N|Full_Day_Y_N|Full_Year_Y_N|School_Year_Y_N|Operating_Hours|School_Based_Y_N|Community_Based_Y_N|Head_Start_Y_N|Accepts_CCAP_Y_N|Home_Visiting_Y_N|Languages_other_than_English|Other_Features|Accreditation|Location|Agency_Associated_With|Modified_on|Quality_Rating|Availability_Level
131|Archdiocese of Chicago - St. Richard|5025 S Kenneth Ave|Chicago|IL|60632|773-582-8083|www.strichard.net|3 years to 4 years|0|1|0|1|0|1|8:00am-3:00pm|0|1|0|1|0|Spanish;;|_|_|_|Archdiocese of Chicago|16 Sep 2016 13:41:00:000|Licensed|High
132|Archdiocese of Chicago - St. Sabina|7801 S Throop Ave|Chicago|IL|60620|773-483-5000|www.edline.ne/pages/St_Sabina_Academy|3 years to 5 years|0|1|0|1|1|1|6:30am-6:00pm|0|1|0|0|0|;;|_|_|_|Archdiocese of Chicago|16 Sep 2016 13:41:00:000|Licensed|Low
133|Archdiocese of Chicago - St. Sylvester|3027 W Palmer Sq|Chicago|IL|60647|773-772-5222|www.stsylvester.org|3 years to 8 grade|0|1|0|1|0|1|6:30am-6:00pm|0|1|0|1|0|French;Spanish;Philipino (Tagalog)|_|AdvancED|_|Archdiocese of Chicago|16 Sep 2016 13:41:00:000|Licensed|Low
134|Asian Human Services - LEAF program|2838 W Peterson Ave|Chicago|IL|60659|773-564-4944|www.ahschicago.org|2 years to 5 years|1|1|0|1|1|1|7:30am-5:30pm|0|1|0|1|1|Bosnian;;Spanish|_|_|_|Lutheran Social Services|16 Sep 2016 13:41:00:000|Licensed|Low
135|Building Blocks Learning Academy|1120 W 69th St|Chicago|IL|60621|773-488-2222|www.buildingblocksla.com|6 weeks to 12 years|1|1|1|1|1|1|6:30am-6:00pm|0|1|0|1|1|;;|_|_|_|Henry Booth House|16 Sep 2016 13:41:00:000|Licensed|High
136|Carole Robertson Center for Learning - Ogden|3701 W Ogden Ave|Chicago|IL|60623|312-243-7300|www.crcl.net|6 weeks to 12 years|1|1|0|0|0|0|6:00am-6:00pm|0|1|0|1|0|Spanish;;|_|"Awards of Excellence, NAEYC"|_|Carole Robertson Center for Learning|16 Sep 2016 13:41:00:000|Gold|Low
137|Carole Robertson Center for Learning - 19th Street|2929 W 19th St|Chicago|IL|60623|312-243-7300|www.crcl.net|6 weeks to 12 years|1|1|0|0|0|0|6:00am-6:00pm|0|1|0|1|1|Spanish;;|_|NAEYC|_|Carole Robertson Center for Learning|18 Sep 2016 21:18:56:000|Gold|High
138|Casa Central - Early Learning Academy|1343 N California Ave|Chicago|IL|60622|773-645-2300|www.casacentral.org|2 years to 5 years|1|1|0|1|1|0|7:00am-6:00pm|0|1|0|1|1|Spanish;;|_|"Awards of Excellence, COA"|_|Casa Central|16 Sep 2016 13:41:00:000|Gold|Low
139|Catholic Charities - Chicago Lawn Child Development Center|3001 W 59th St|Chicago|IL|60629|773-925-1085|www.catholiccharities.net|3 years to 5 years|0|1|1|1|1|1|7:00am-6:00pm|0|1|0|1|0|Spanish;;|_|NAEYC|_|Catholic Charities|16 Sep 2016 13:41:00:000|Gold|Medium
140|Catholic Charities - Cordi Marian Child Development Center|1100 S May St|Chicago|IL|60607|312-666-3787|www.catholiccharities.net/GetHelp/OurServices/ChildDevelopment.aspx#University-Village-204|2 years to 12 years|1|1|0|1|1|0|7:00am-6:00pm|0|1|0|1|0|Spanish;;|_|NAEYC|_|Catholic Charities|16 Sep 2016 13:41:00:000|Gold|Low
142|Catholic Charities - Our Lady of Tepeyac Child Development Center|2414 S Albany Ave|Chicago|IL|60623|773-277-5888|www.catholiccharities.net|3 years to 5 years|0|1|1|1|1|0|7:00am-6:00pm|0|1|0|1|0|Spanish;;|_|"NAEYC, COA"|_|Catholic Charities|16 Sep 2016 13:41:00:000|Gold|High
143|Catholic Charities - St. Joseph Child Development Center|4800 S Paulina Ave|Chicago|IL|60609|773-927-2524|www.catholiccharities.net|3 years to 12 years|0|1|1|1|1|1|7:00am-6:00pm|0|1|0|1|0|Spanish;;|_|"Awards of Excellence, COA, NAEYC"|_|Catholic Charities|16 Sep 2016 13:41:00:000|Gold|Medium
144|Centers for New Horizons - Altgeld Gardens Early Learning Center|941 E 132nd St|Chicago|IL|60827|773-468-3055|www.cnh.org|0 years to 5 years|1|1|0|1|1|1|7:00am-6:00pm|0|1|0|0|1|;;|_|COA|_|Centers for New Horizons|16 Sep 2016 13:41:00:000|Gold|High
145|Centers for New Horizons - Effie O. Ellis Early Learning Center|4301 S Cottage Grove Ave|Chicago|IL|60653|773-548-9840|www.cnh.org|0 years to 5 years|1|1|0|1|1|0|7:00am-6:00pm|0|1|0|0|1|;;|_|COA|_|Centers for New Horizons|16 Sep 2016 13:41:00:000|Gold|High
146|Chance after Chance|305-309 N Cicero Ave|Chicago|IL|60644|773-854-8182|www.chanceafterchancecollegeprep.com|3 years to 6 years|0|1|1|1|1|1|7:30am-6:00pm|0|1|0|1|1|Spanish;;|_|_|_|Chance after Chance|16 Sep 2016 13:41:00:000|Licensed|Low
147|Chicago Child Care Society - Hyde Park|5467 S University Ave|Chicago|IL|60615|773-643-0452|www.cccsociety.org|2 years to 5 years|1|1|1|1|1|1|7:00am-6:00pm|0|1|0|1|1|Spanish;;|_|NAEYC|_|Chicago Child Care Society|16 Sep 2016 13:41:00:000|Gold|Low
148|Chicago Commons Association - Guadalupano Family Center|1814 S Paulina St|Chicago|IL|60608|312-666-3883|www.chicagocommons.org |2 years to 12 years|1|1|1|1|1|0|7:00am-6:00pm|0|1|0|1|0|Spanish;;|_|NAEYC|_|Chicago Commons Association|16 Sep 2016 13:41:00:000|Gold|Medium
149|Chicago Commons Association - NIA Family Center|744 N Monticello Ave|Chicago|IL|60624|773-722-0115|www.chicagocommons.org|8 weeks to 5 years|1|1|1|1|1|0|7:00am-6:00pm|0|1|0|1|0|Spanish;;|_|NAEYC|_|Chicago Commons Association|16 Sep 2016 13:41:00:000|Gold|High
150|Chicago Commons Association - Paulo Freire Family Center|1653 W 43rd St|Chicago|IL|60609|773-826-6260|www.chicagocommons.org|8 weeks to 5 years|1|1|1|1|1|0|7:00am-6:00pm|0|1|0|1|0|Spanish;;|_|NAEYC|_|Chicago Commons Association|16 Sep 2016 13:41:00:000|Gold|Low
151|Chicago Commons Association - Taylor Center for New Experiences|1633 N Hamlin Ave|Chicago|IL|60647|773-227-8551|www.chicagocommons.org|2 years to 5 years|1|1|1|1|1|0|7:00am-6:00pm|0|1|0|1|0|Spanish;;|_|NAEYC|_|Chicago Commons Association|16 Sep 2016 13:41:00:000|Gold|High
152|ABC Polk Brothers Early Childhood Program|3415 W 13th Pl|Chicago|IL|60623|773-762-5655|www.chicagoyouthcenters.org|3 years to 5 years|0|1|0|1|1|0|7:00am-6:00pm|0|1|0|1|0|;;|_|_|_|Chicago Youth Centers|18 Sep 2016 21:19:49:000|Licensed|High
153|Chicago Youth Centers - Centro Nuestro|3222 W Division St|Chicago|IL|60651|773-489-3157|http://chicagoyouthcenters.org|3 years to 5 years|0|1|1|1|1|1|7:00 AM - 6:00 PM|0|1|0|1|0|Spanish;;|_|_|_|Chicago Youth Centers|16 Sep 2016 13:41:00:000|Licensed|High
154|Chicago Youth Centers - Dorothy Gautreaux|975 E 132nd St|Chicago|IL|60827|773-291-1000|ww.chicagoyouthcenters.org|3 yeares to 5 years|0|1|1|1|1|0|7:00am-6:00pm|0|1|0|1|0|;;|_|_|_|Chicago Youth Centers|16 Sep 2016 13:41:00:000|Licensed|Medium
155|Chicago Youth Centers - Fellowship House|844 W 32nd St|Chicago|IL|60608|312-326-2282|www.chicagoyouthcenters.org|3 years to 5 years|0|1|1|1|1|1|7:00am-6:00pm|0|1|0|1|0|Spanish;;|_|_|_|Chicago Youth Centers|16 Sep 2016 13:41:00:000|Licensed|High
156|Chicago Youth Centers - Rebecca K. Crown|7601 S Phillips Ave|Chicago|IL|60649|773-731-0444|www.chicagoyouthcenters.org|3 years to 5 years|0|1|0|1|1|0|7:00am-6:00pm|0|1|0|1|0|;;|_|NAEYC|_|Chicago Youth Centers|16 Sep 2016 13:41:00:000|Licensed|Low
157|Children's Center|12803 S Halsted Ave|Chicago|IL|60628|773-264-5171|www.thechildrenscenterchicago.org|6 weeks to 3 grade|1|1|0|1|1|1|6:00am-6:00pm|0|1|0|1|0|;;|_|_|_|Childrens Center|16 Sep 2016 13:41:00:000|Licensed|Low
158|Children's Center for Creative Learning - Western|7954-58 S Western Ave|Chicago|IL|60620|773-471-4927|http://www.childrenscenterchicago.com|6 weeks to 5 years|1|1|0|1|1|1|7:00am-6:00pm|0|1|0|1|0|;;|_|NAEYC|_|Childrens Center for Creative Learning|16 Sep 2016 13:41:00:000|Licensed|High
159|Children's Home & Aid Freidheim Child and Family Center|1701 W 63rd St|Chicago|IL|60636|773-476-6998|www.childrenshomeandaid.org|6 weeks to 5 years|1|1|1|1|1|0|7:00am-6:00pm|0|1|0|1|1|Spanish;;|_|"COA, NAEYC"|_|Childrens Home & Aid Freidheim Child and Family|28 Sep 2016 10:58:43:000|Gold|Low
160|The Children's Place Early Learning Center|1800 N. Humboldt Blvd.|Chicago|IL|60647|773-395-9193|www.childrens-place.org|0 years to 5 years|1|1|0|1|1|1|7:00am-5:30pm|0|1|0|1|1|Spanish;;Swahili|_|COA|_|The Childrens Place Early Learning Center|16 Sep 2016 13:41:00:000|Silver|Low
161|Chinese American Service League|2141 S Tan Ct|Chicago|IL|60616|312-791-0454|www.caslservice.org|0 years to 5 grade|1|1|0|0|0|0|8:00am-6:00pm|0|1|0|1|0|Chinese (Simplified);;Chinese (Traditional)|_|"COA, NAEYC"|_|Chinese American Service League|16 Sep 2016 13:41:00:000|Gold|Low
162|Christopher House - Belmont Cragin|5235 W Belden Ave|Chicago|IL|60639|773-922-7500|www.christopherhouse.org|6 weeks to 4 grade|1|1|0|1|1|0|7:30am-5:30pm|0|1|0|1|0|Spanish;;|_|_|_|Christopher House|16 Sep 2016 13:41:00:000|Licensed|Low
163|Christopher House - Logan Square|3255 W Altgeld St|Chicago|IL|60647|773-235-4073|www.christopherhouse.org |2 years to 12 years|1|1|0|1|1|0|7:30am-5:30pm|0|1|0|1|0|Spanish;;|_|"Awards of Excellence, NAEYC"|_|Christopher House|16 Sep 2016 13:41:00:000|Gold|Low
164|Christopher House - Uptown|4701 N Winthrop Ave|Chicago|IL|60640|773-769-4540|www.christopherhouse.org |6 weeks to 12 years|1|1|0|1|1|0|7:30am-5:30pm|0|1|0|1|0|Farsi;Korean;French|_|"Awards of Excellence, NAEYC"|_|Christopher House|16 Sep 2016 13:41:00:000|Gold|High
165|City Colleges of Chicago - Kennedy-King College|710 W 65th St|Chicago|IL|60621|773-602-5481|www.ccc.edu/colleges/kennedy|2 years to 5 years|1|1|0|0|0|0|7:30am-5:30pm|0|1|0|0|0|Spanish;;|_|NAEYC|_|City Colleges of Chicago - Kennedy-King|17 Oct 2016 13:26:33:000|Gold|High
166|City Colleges of Chicago - Malcom X|1900 W Van Buren St|Chicago|IL|60612|312-850-7490|www.malcolmxcollege.ccc.edu|3 years to 5 years|0|1|0|0|0|0|7:30am-5:30pm|0|1|0|0|0|Russian;;|_|NAEYC|_|City Colleges of Chicago - Malcom X|16 Sep 2016 13:41:00:000|Gold|High
167|City Colleges of Chicago - Olive Harvey|10001 S Woodlawn Ave, #1105|Chicago|IL|60628|773-291-6317|www.ccc.edu/Pages/default.aspx|3 years to 5 years|0|1|0|0|0|0|7:30am-5:00pm|0|1|0|0|0|Spanish;;|_|"Awards of Excellence, NAEYC"|_|City Colleges of Chicago - Olive Harvey|21 Sep 2016 06:46:26:000|Gold|High
168|City Colleges of Chicago - Richard J. Daley|7500 S Pulaski Rd, #1120|Chicago|IL|60652|773-838-7562|www.ccc.edu/Pages/default.aspx|3 years to 6 years|0|1|0|1|0|0|8:00am-3:00pm|0|1|0|0|0|Spanish;;|_|NAEYC|_|City Colleges of Chicago - Richard J. Daley|21 Sep 2016 06:47:37:000|Licensed|Medium
169|City Colleges of Chicago - Truman|1145 W Wilson Ave|Chicago|IL|60640|773-907-4740|www.ccc.edu/colleges/truman/departments/Pages/Child-Care.aspx|2 years to 7 years|1|1|0|1|0|0|7:45am-5:30pm|0|1|0|0|0|;;|_|NAEYC|_|City Colleges of Chicago - Truman|16 Sep 2016 13:41:00:000|Licensed|Low
170|Concordia Place - Seeley|3855 N Seeley St|Chicago|IL|60618|773-935-3739|www.concordiaplace.org|2 years to 6 years|1|1|0|1|1|0|7:00am-6:00pm|0|1|0|1|0|Spanish;;|_|"Awards of Excellence, NAEYC"|_|Concordia Place|16 Sep 2016 13:41:00:000|Gold|Low
171|Concordia Place - Whipple|3300 N Whipple St|Chicago|IL|60618|773-463-1600 x111|www.concordiaplace.org|6 weeks to 12 years|1|1|1|1|1|0|7:00am-6:00pm|0|1|0|1|0|Spanish;;|_|"Awards of Excellence, NAEYC"|_|Concordia Place|16 Sep 2016 13:41:00:000|Gold|Low
172|Dorsey Developmental Institute|2050 E 93rd St|Chicago|IL|60617|773-375-4300|n/a|2 years to 5 years|1|1|1|1|1|1|7:00am-6:00pm |0|1|0|1|0|Italian;;Spanish|_|_|_|Dorsey Development Institute|16 Sep 2016 13:41:00:000|Licensed|Low
173|State of Illinois Child Development Center|160 N LaSalle St, #201|Chicago|IL|60601|312-814-4782|www.earlychildcareservices.com|2 years to 6 years|1|1|0|1|1|1|7:30am-6:00pm|0|1|0|1|0|Bulgarian;;Spanish|_|NAEYC|_|Early Child Care Services|21 Sep 2016 06:48:29:000|Gold|Low
175|El Hogar Del Ni¤o|1710 S Loomis Ave|Chicago|IL|60608|312-733-5584|www.elhogardelnino.com|2 years to 12 years|1|1|0|1|1|0|7:00am-6:00pm |0|1|0|1|1|Spanish;;|_|NAEYC|_|El Hogar Del Nino|16 Sep 2016 13:41:00:000|Gold|Low
176|Erie Neighborhood House|1701 W Superior St|Chicago|IL|60622|312-563-5800|www.eriehouse.org|2 years to 5 years|1|1|0|0|0|0|7:30am-5:30pm|0|1|1|1|0|Spanish;;Ukrainian|_|"Awards of Excellence, NAEYC"|_|Erie Neighborhood House|16 Sep 2016 13:41:00:000|Gold|High
177|Eyes on the Future|6969 N Ravenswood Ave|Chicago|IL|60626|773-973-0771|www.eyesonthefuture.net|12 weeks to 12 years|1|1|1|1|1|0|7:30am-5:30pm|0|1|0|1|0|Amharic;Spanish;Philipino (Tagalog)|_|NAEYC|_|Chicago Commons Association|16 Sep 2016 13:41:00:000|Gold|Low
178|Fairyland Nursery School|4350 N Milwaukee Ave|Chicago|IL|60630|773-725-1246|www.fairylandschool.com|2 years to 6 years|1|1|0|1|1|1|6:00am-6:00pm |0|1|0|1|0|Philipino (Tagalog);Spanish;Polish|_|_|_|Fairyland Nursery School|16 Sep 2016 13:41:00:000|Licensed|Low
179|Gads Hill Center - Kove Learning Academy|3137 W 71st St|Chicago|IL|60629|773-696-4742|www.gadshillcenter.org|2.6 years to 5 years|1|1|1|1|1|0|7:00am-5:00pm|0|1|0|1|0|Spanish;;|_|_|_|Gads Hill Center|16 Sep 2016 13:41:00:000|Licensed|Medium
180|Gads Hill Center - Ogden|2653 W Ogden Ave|Chicago|IL|60608|773-521-1196|www.gadshillcenter.org|30 months to 13 years|0|1|1|1|1|0|7:00am-6:00pm|0|1|0|1|0|Spanish;;|_|NAEYC|_|Gads Hill Center|16 Sep 2016 13:41:00:000|Licensed|Medium
181|Happy Holiday Nursery & Kindergarten|401 E 111th St|Chicago|IL|60628|773-821-7009|n/a|2 years to 6 years|1|1|1|1|1|1|7:00am-6:00pm |0|1|0|1|0|;;|_|NAEYC|_|Happy Holiday Nursery and Kindergarden|16 Sep 2016 13:41:00:000|Gold|High
182|Henry Booth House - Hegewisch|2725 E 130th St|Chicago|IL|60633|773-646-2400|www.henryboothhouse.org|6 weeks to 5 years|1|1|1|1|1|1|7:00am-6:00pm |0|1|1|0|0|Spanish;;|_|_|_|Henry Booth House|16 Sep 2016 13:41:00:000|Licensed|High
183|Henry Booth House - Hope for Youth|5900 W Iowa St|Chicago|IL|60651|773-626-0322|www.henryboothhouse.org|3 years to 5 years|0|1|1|1|1|1|7:00am-6:00pm|0|1|0|1|0|;;|_|_|_|Henry Booth House|16 Sep 2016 13:41:00:000|Bronze|Low
184|Henry Booth House - Near South|2929 S Wabash Ave|Chicago|IL|60616|312-791-0424|www.henryboothhouse.org|3 years to 5 years|0|1|1|1|1|1|7:00am-6:00pm|0|1|0|1|0|Chinese (Simplified);Mandarin and Cantonese;Chinese (Traditional)|_|_|_|Henry Booth House|16 Sep 2016 13:41:00:000|Licensed|High
185|Higher Learning Daycare & Education Center|2526 E 73rd St|Chicago|IL|60649|773-734-1251|www.higher-learn.com|6 weeks to 6 years|1|1|1|1|1|1|6:00am-6:00pm|0|1|0|1|0|;;|_|_|_|Higher Learning Daycare & Education|16 Sep 2016 13:41:00:000|Silver|Low
186|Holy Family Ministries - Little Learners Academy|3415 W Arthington Ave|Chicago|IL|60624|773-265-0550|www.hfm.org|3 years to 5 years|0|1|0|1|0|1|7:30am-5:30pm|0|1|0|1|0|Spanish;;|_|_|_|Holy Family Ministries - Little Learners|16 Sep 2016 13:41:00:000|Licensed|Low
187|Home of Life Community Development Corporation|4650 W Madison St|Chicago|IL|60644|773-626-8655|www.homelifecdc.org|6 weeks to 5 years|1|1|0|1|1|0|7:00am-6:00pm|0|1|0|1|0|;;|_|_|_|Home of Life Community Development|16 Sep 2016 13:41:00:000|Licensed|High
